id,text,service_type,budget(PKR),tone,features
C018,Looking for someone to build a ai solution that includes sentiment analysis and easy maintenance.,AI,212452,urgent,"recommendation system, speech-to-text, automated reports"
C019,"We’re planning to launch a ai solution that includes speech-to-text, chatbot, and image recognition. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",AI,785857,casual,"sentiment analysis, predictive analytics, speech-to-text"
C020,"We require a ai system capable of handling image recognition, image recognition, and chatbot. The final product should be professional, secure, and align with our brand tone.",AI,312696,professional,"automated reports, predictive analytics, chatbot"
C021,We need a ai project with focus on sentiment analysis and fast delivery.,AI,200981,urgent,"image recognition, speech-to-text, automated reports"
C022,"We’re planning to launch a app solution that includes chat support, user login, and push notifications. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",App,659175,professional,"push notifications, chat support, dark mode"
C023,"We’re planning to launch a web solution that includes responsive design, responsive design, and product catalog. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",Web,70305,casual,"SEO optimization, admin panel, user authentication"
C024,"We require a app system capable of handling push notifications, dark mode, and push notifications. The final product should be professional, secure, and align with our brand tone.",App,83028,casual,"in-app purchases, user login, chat support"
C025,"We’re planning to launch a design solution that includes UI/UX wireframes, illustrations, and brand identity. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",Design,217789,professional,"illustrations, landing page design, social media graphics"
C026,Looking for someone to build a app solution that includes analytics dashboard and easy maintenance.,App,95477,professional,"dark mode, push notifications, user login"
C027,We need a ai project with focus on speech-to-text and fast delivery.,AI,106004,professional,"speech-to-text, image recognition, sentiment analysis"
C028,"Our goal is to create a complete ai platform with automated reports and recommendation system. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",AI,593668,casual,"chatbot, predictive analytics, sentiment analysis"
C029,"Our goal is to create a complete app platform with in-app purchases and in-app purchases. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",App,722959,urgent,"in-app purchases, user login, GPS tracking"
C030,"Our goal is to create a complete web platform with content management system and user authentication. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",Web,101672,urgent,"admin panel, product catalog, user authentication"
C031,"Our goal is to create a complete ai platform with predictive analytics and speech-to-text. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",AI,252739,casual,"speech-to-text, chatbot, image recognition"
C032,Looking for someone to build a app solution that includes in-app purchases and easy maintenance.,App,196575,professional,"analytics dashboard, user login, GPS tracking"
C033,"Our goal is to create a complete app platform with dark mode and user login. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",App,570330,casual,"chat support, user login, dark mode"
C034,Looking for someone to build a app solution that includes in-app purchases and easy maintenance.,App,303945,professional,"user login, dark mode, push notifications"
C035,"We require a ai system capable of handling sentiment analysis, automated reports, and sentiment analysis. The final product should be professional, secure, and align with our brand tone.",AI,615693,casual,"sentiment analysis, recommendation system, predictive analytics"
C036,Looking for someone to build a ai solution that includes image recognition and easy maintenance.,AI,782647,professional,"sentiment analysis, speech-to-text, recommendation system"
C037,"We require a ai system capable of handling recommendation system, sentiment analysis, and image recognition. The final product should be professional, secure, and align with our brand tone.",AI,193988,professional,"chatbot, automated reports, sentiment analysis"
C038,We need a web project with focus on product catalog and fast delivery.,Web,288692,urgent,"payment gateway, content management system, responsive design"
C039,Our company needs a app system that improves user experience and integrates GPS tracking.,App,666619,urgent,"in-app purchases, analytics dashboard, dark mode"
C040,"Our goal is to create a complete app platform with push notifications and push notifications. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",App,106687,urgent,"user login, analytics dashboard, dark mode"
C041,Our company needs a ai system that improves user experience and integrates automated reports.,AI,285584,urgent,"chatbot, sentiment analysis, recommendation system"
C042,Looking for someone to build a app solution that includes dark mode and easy maintenance.,App,111717,urgent,"user login, in-app purchases, analytics dashboard"
C043,We need a ai project with focus on sentiment analysis and fast delivery.,AI,318417,professional,"predictive analytics, image recognition, speech-to-text"
C044,"We require a design system capable of handling social media graphics, brand identity, and brand identity. The final product should be professional, secure, and align with our brand tone.",Design,389945,casual,"UI/UX wireframes, logo design, social media graphics"
C045,"We require a design system capable of handling UI/UX wireframes, logo design, and logo design. The final product should be professional, secure, and align with our brand tone.",Design,659275,urgent,"social media graphics, landing page design, brand identity"
C046,"We require a web system capable of handling payment gateway, payment gateway, and product catalog. The final product should be professional, secure, and align with our brand tone.",Web,318889,urgent,"content management system, payment gateway, admin panel"
C047,We need a ai project with focus on automated reports and fast delivery.,AI,78408,professional,"speech-to-text, automated reports, chatbot"
C048,"We’re planning to launch a ai solution that includes image recognition, recommendation system, and chatbot. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",AI,124132,casual,"sentiment analysis, automated reports, recommendation system"
C049,"We’re planning to launch a ai solution that includes predictive analytics, speech-to-text, and predictive analytics. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",AI,325431,urgent,"image recognition, speech-to-text, predictive analytics"
C050,Looking for someone to build a app solution that includes GPS tracking and easy maintenance.,App,777865,casual,"in-app purchases, chat support, user login"
C051,"We’re planning to launch a app solution that includes GPS tracking, user login, and in-app purchases. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",App,648694,casual,"in-app purchases, user login, push notifications"
C052,"We require a web system capable of handling content management system, content management system, and user authentication. The final product should be professional, secure, and align with our brand tone.",Web,537427,professional,"content management system, user authentication, product catalog"
C053,"Our goal is to create a complete web platform with SEO optimization and SEO optimization. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",Web,379991,urgent,"content management system, payment gateway, responsive design"
C054,Looking for someone to build a design solution that includes social media graphics and easy maintenance.,Design,714065,professional,"UI/UX wireframes, illustrations, social media graphics"
C055,"Our goal is to create a complete ai platform with recommendation system and chatbot. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",AI,157823,professional,"image recognition, sentiment analysis, speech-to-text"
C056,"Our goal is to create a complete ai platform with sentiment analysis and speech-to-text. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",AI,301552,casual,"predictive analytics, speech-to-text, sentiment analysis"
C057,"We’re planning to launch a design solution that includes brand identity, color palette, and illustrations. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",Design,590767,casual,"color palette, landing page design, illustrations"
C058,"We require a ai system capable of handling chatbot, automated reports, and speech-to-text. The final product should be professional, secure, and align with our brand tone.",AI,301271,professional,"speech-to-text, automated reports, sentiment analysis"
C059,Looking for someone to build a design solution that includes landing page design and easy maintenance.,Design,638036,casual,"social media graphics, UI/UX wireframes, landing page design"
C060,Looking for someone to build a app solution that includes dark mode and easy maintenance.,App,705525,professional,"push notifications, chat support, user login"
C061,We need a app project with focus on GPS tracking and fast delivery.,App,660106,urgent,"chat support, analytics dashboard, push notifications"
C062,"We require a ai system capable of handling recommendation system, recommendation system, and automated reports. The final product should be professional, secure, and align with our brand tone.",AI,476625,casual,"recommendation system, automated reports, chatbot"
C063,"We require a ai system capable of handling speech-to-text, predictive analytics, and predictive analytics. The final product should be professional, secure, and align with our brand tone.",AI,681227,professional,"sentiment analysis, speech-to-text, predictive analytics"
C064,Looking for someone to build a web solution that includes responsive design and easy maintenance.,Web,276261,casual,"content management system, responsive design, SEO optimization"
C065,Our company needs a app system that improves user experience and integrates GPS tracking.,App,747310,casual,"dark mode, chat support, user login"
C066,"Our goal is to create a complete ai platform with predictive analytics and chatbot. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",AI,460199,casual,"automated reports, chatbot, speech-to-text"
C067,Looking for someone to build a ai solution that includes predictive analytics and easy maintenance.,AI,753581,casual,"chatbot, automated reports, recommendation system"
C068,We need a web project with focus on user authentication and fast delivery.,Web,437256,urgent,"admin panel, user authentication, payment gateway"
C069,Our company needs a ai system that improves user experience and integrates speech-to-text.,AI,367098,professional,"sentiment analysis, automated reports, chatbot"
C070,Looking for someone to build a ai solution that includes speech-to-text and easy maintenance.,AI,643427,casual,"automated reports, recommendation system, chatbot"
C071,"We’re planning to launch a ai solution that includes chatbot, recommendation system, and recommendation system. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",AI,134406,urgent,"chatbot, recommendation system, sentiment analysis"
C072,We need a ai project with focus on sentiment analysis and fast delivery.,AI,399995,urgent,"chatbot, image recognition, recommendation system"
C073,"We require a design system capable of handling logo design, illustrations, and logo design. The final product should be professional, secure, and align with our brand tone.",Design,298625,professional,"landing page design, logo design, brand identity"
C074,"Our goal is to create a complete web platform with SEO optimization and SEO optimization. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",Web,360741,casual,"content management system, product catalog, admin panel"
C075,Looking for someone to build a ai solution that includes automated reports and easy maintenance.,AI,206799,urgent,"predictive analytics, sentiment analysis, image recognition"
C076,Our company needs a app system that improves user experience and integrates dark mode.,App,160856,professional,"analytics dashboard, in-app purchases, GPS tracking"
C077,Looking for someone to build a ai solution that includes automated reports and easy maintenance.,AI,389282,urgent,"automated reports, recommendation system, image recognition"
C078,Our company needs a ai system that improves user experience and integrates image recognition.,AI,548345,urgent,"chatbot, automated reports, speech-to-text"
C079,We need a web project with focus on user authentication and fast delivery.,Web,698590,professional,"payment gateway, responsive design, product catalog"
C080,Our company needs a design system that improves user experience and integrates logo design.,Design,362996,casual,"UI/UX wireframes, social media graphics, color palette"
C081,"We require a ai system capable of handling sentiment analysis, recommendation system, and speech-to-text. The final product should be professional, secure, and align with our brand tone.",AI,329879,urgent,"speech-to-text, predictive analytics, automated reports"
C082,Looking for someone to build a app solution that includes user login and easy maintenance.,App,627733,urgent,"in-app purchases, dark mode, analytics dashboard"
C083,We need a app project with focus on GPS tracking and fast delivery.,App,137023,professional,"chat support, user login, analytics dashboard"
C084,We need a web project with focus on admin panel and fast delivery.,Web,64136,urgent,"responsive design, product catalog, content management system"
C085,Looking for someone to build a design solution that includes landing page design and easy maintenance.,Design,423952,urgent,"illustrations, logo design, brand identity"
C086,Our company needs a ai system that improves user experience and integrates speech-to-text.,AI,56720,professional,"sentiment analysis, image recognition, speech-to-text"
C087,We need a app project with focus on in-app purchases and fast delivery.,App,628896,urgent,"chat support, push notifications, dark mode"
C088,"We’re planning to launch a app solution that includes analytics dashboard, user login, and analytics dashboard. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",App,747685,urgent,"user login, analytics dashboard, in-app purchases"
C089,"Our goal is to create a complete ai platform with speech-to-text and sentiment analysis. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",AI,155208,professional,"sentiment analysis, image recognition, chatbot"
C090,Our company needs a app system that improves user experience and integrates chat support.,App,501438,casual,"in-app purchases, user login, dark mode"
C091,"Our goal is to create a complete web platform with responsive design and SEO optimization. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",Web,624788,casual,"payment gateway, responsive design, user authentication"
C092,We need a ai project with focus on predictive analytics and fast delivery.,AI,153813,urgent,"sentiment analysis, predictive analytics, image recognition"
C093,"We’re planning to launch a web solution that includes content management system, SEO optimization, and responsive design. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",Web,520633,urgent,"content management system, product catalog, SEO optimization"
C094,"Our goal is to create a complete ai platform with sentiment analysis and sentiment analysis. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",AI,107912,urgent,"predictive analytics, chatbot, automated reports"
C095,Our company needs a design system that improves user experience and integrates illustrations.,Design,497719,casual,"social media graphics, UI/UX wireframes, logo design"
C096,"Our goal is to create a complete app platform with push notifications and in-app purchases. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",App,626836,professional,"analytics dashboard, GPS tracking, push notifications"
C097,Looking for someone to build a web solution that includes responsive design and easy maintenance.,Web,340233,professional,"responsive design, content management system, product catalog"
C098,"We require a app system capable of handling dark mode, in-app purchases, and user login. The final product should be professional, secure, and align with our brand tone.",App,92739,urgent,"in-app purchases, dark mode, GPS tracking"
C099,"We require a app system capable of handling dark mode, dark mode, and in-app purchases. The final product should be professional, secure, and align with our brand tone.",App,353882,urgent,"in-app purchases, user login, GPS tracking"
C100,Looking for someone to build a web solution that includes content management system and easy maintenance.,Web,737250,professional,"product catalog, responsive design, admin panel"
